Difficulty Tag,Exercise,How to do the exercise,Benefits,Animation
Beginner,Tadasana,"Stand with feet together or hip width apart, spread toes and press evenly through the feet. Engage thighs gently, lengthen the spine, relax shoulders and let arms rest by your sides with palms facing in or forward. Keep chin level and breathe slowly.","Improves posture and body awareness, strengthens legs and core, supports steady breathing and calm focus.",
Beginner,Vrksasana,"Stand tall and shift weight into one foot. Place the sole of the other foot on the inner calf or inner thigh, avoiding the knee. Bring palms together at the chest or raise arms overhead. Keep gaze steady on one point and breathe evenly.","Builds balance and concentration, strengthens ankles and legs, opens hips and chest.",
Beginner,Utkatasana,Stand with feet together or hip width apart. As you inhale raise arms overhead. As you exhale bend knees and sit the hips back as if into a chair while keeping weight in the heels. Keep chest lifted and core engaged.,"Strengthens thighs, glutes and core, warms the body and supports stamina.",
Beginner,Virabhadrasana one,Step one foot forward and bend the front knee above the ankle. Turn the back foot out slightly and press the outer edge into the ground. Square the hips toward the front and lift arms overhead with the chest open.,"Strengthens legs and shoulders, opens hips and chest, improves stability and confidence.",
Beginner,Virabhadrasana two,"Step feet wide, turn one foot out and bend the front knee so it stacks over the ankle. Keep the back leg straight. Stretch arms out at shoulder height and gaze softly over the front hand.","Builds leg strength and endurance, opens hips, improves focus and grounded presence.",
Intermediate,Virabhadrasana three,"From standing, step one foot back slightly then hinge forward from the hips while lifting the back leg behind you. Reach arms forward, to the sides or back along the body. Keep hips level and core strong.","Strengthens legs, glutes and back, improves balance and concentration, supports core stability.",
Intermediate,Navasana,Sit with knees bent and feet on the ground. Lean back slightly with a long spine and lift feet so shins come parallel to the floor. Extend arms forward. For a stronger version straighten the legs.,"Strengthens core and hip flexors, supports healthy posture and builds stamina.",
Beginner,Bhujangasana,Lie on the belly with legs extended and tops of feet on the ground. Place palms under shoulders. As you inhale press gently into the hands and lift chest while keeping elbows close and lower ribs down or light. Lengthen the neck.,"Opens chest and shoulders, strengthens back muscles and may ease mild stiffness from sitting.",
Beginner,Setu Bandhasana,Lie on your back with knees bent and feet hip width apart close to the sitting bones. Press feet and arms into the ground to lift hips. Keep knees in line with hips and avoid flaring ribs. Interlace fingers under the back if comfortable.,"Strengthens glutes and back, opens chest and hip flexors, can refresh energy and support mood.",
Intermediate,Dhanurasana,"Lie on the belly, bend knees and reach back to hold ankles. As you inhale kick feet into hands and lift chest and thighs away from the ground. Keep gaze forward or slightly upward without straining the neck.","Deeply opens the front body, strengthens back muscles and stimulates digestion and energy.",
Intermediate,Ardha Matsyendrasana,"Sit with legs extended then bend one knee and place the foot outside the opposite thigh. Bend the lower leg or keep it extended. Lengthen the spine and twist toward the bent knee side, placing opposite elbow outside the knee and the other hand behind you.","Improves spinal mobility, massages abdominal organs and can ease mild lower back and hip tension.",
Intermediate,Garudasana,Stand and slightly bend knees. Wrap one thigh over the other and if possible hook the foot behind the calf. Bring one arm under the other and wrap forearms so palms face each other. Lift elbows to shoulder height while keeping shoulders down.,"Strengthens legs and ankles, stretches upper back and shoulders, improves focus and coordination.",
Intermediate,Gomukhasana,"Sit with knees stacked so one is directly above the other, feet beside the hips. Reach one arm up and bend the elbow, reaching down the back. Reach the other arm behind and up to clasp fingers or use a strap.","Opens shoulders and chest, stretches hips and outer thighs, can help release upper body tension.",
Advanced,Kapotasana,"From a kneeling position with toes tucked or untucked, place hands on the lower back. Lift chest and slowly lean back, keeping hips above knees. A deeper version moves hands to the feet or ground behind the feet.","Strongly opens the front body, chest and hip flexors and can increase spinal extension when practiced with care.",
Advanced,Eka Pada Rajakapotasana,From hands and knees bring one knee forward toward the wrist and slide the foot toward the opposite side. Extend the back leg straight behind with hips facing forward. Stay upright or fold forward or bend the back knee and reach for the foot in advanced versions.,"Deeply opens outer hips and hip flexors, can ease sitting related tightness and supports hip mobility.",
Beginner,Virasana,"Kneel with knees together and feet slightly wider than the hips. Sit back between the heels, using a block or cushion if needed. Keep spine tall and hands resting on thighs.","Stretches thighs and ankles, can support digestion after meals and offers a stable seat for breathing practice.",
Beginner,Sukhasana,"Sit cross legged with one shin in front of the other. Sit on a folded blanket if hips are tight. Lengthen spine, relax shoulders and rest hands on knees or in the lap.","Provides a gentle seated base, opens hips softly and supports meditation and breath awareness.",
Advanced,Padmasana,"From a cross legged seat, place one foot on the opposite thigh and then the other foot on the remaining thigh, with soles facing upward. Keep spine tall and hands resting on knees or in mudra. Use care and only if hips and knees are ready.","Stabilises the body for meditation, encourages deep breathing and supports mental focus and stillness.",
Beginner,Savasana,Lie on your back with legs comfortably apart and arms at your sides with palms facing upward. Let feet relax outward and soften the jaw and eyes. Allow the breath to become natural and stay for several minutes.,"Relaxes the entire body, integrates the effects of practice and supports stress relief and recovery.",
Beginner,Trikonasana,"Stand with feet wide. Turn one foot out ninety degrees and the back foot slightly in. Reach arms to a T at shoulder height. Shift the torso over the front leg and lower the front hand to shin, block or ground while the other arm reaches up.","Stretches hamstrings, hips and side body, strengthens legs and improves spinal mobility.",
Intermediate,Parivrtta Trikonasana,"From a wide stance with one foot forward, square hips toward the front leg. Reach opposite hand toward the front foot and place it on the outside of the foot, a block or shin. Extend the other arm upward and rotate the chest open.","Builds balance and leg strength, offers a deeper twist for spine and abdominal organs and improves focus.",
Beginner,Marjaryasana,"Begin on hands and knees with wrists under shoulders and knees under hips. As you exhale round the spine toward the ceiling, tuck tail and drop head toward the ground in a cat stretch.","Mobilises the spine, warms the back and helps relieve mild tension in neck and shoulders when paired with the counter movement.",
Intermediate,Ustrasana,"Kneel with knees hip width apart and toes tucked or untucked. Place hands on lower back. As you inhale lift chest and gently press hips forward, leaning back as far as comfortable. Optionally reach hands to heels.","Opens chest and hip flexors, strengthens back muscles and can lift energy and mood.",
Beginner,Uttanasana,"From standing, hinge at the hips and fold forward, letting the head relax. Knees can stay bent or straighten comfortably. Hands can rest on the ground, shins or hold opposite elbows.","Stretches hamstrings and calves, lengthens the spine and can calm the mind and nervous system.",
Beginner,Adho Mukha Svanasana,"From hands and knees tuck toes and lift knees, straightening legs as comfortable to form an inverted V shape. Press hands into the ground, lengthen through arms and spine and let head hang between the arms.","Stretches shoulders, hamstrings and calves, strengthens arms and legs and gently energises the body.",
Intermediate,Bakasana,Squat with feet close together and place hands on the ground shoulder width apart. Bend elbows slightly and place knees on upper arms near armpits. Shift weight forward onto hands and lift feet off the ground while engaging core.,"Strengthens arms, wrists and core, improves balance and builds confidence.",
Advanced,Sirsasana,"Kneel and interlace fingers, placing forearms on the ground with elbows shoulder width apart. Place the crown of the head lightly on the ground in front of the hands. Lift knees, walk feet closer and slowly lift legs to stack over hips, keeping core engaged.","Builds upper body and core strength, increases body awareness and may improve circulation when practiced safely.",
Advanced,Pincha Mayurasana,"From forearm plank walk feet toward elbows. Kick or float one leg then the other up so legs stack over shoulders. Keep forearms pressing into the ground and core strong, with gaze between hands.","Strengthens shoulders, back and core, improves balance and focus and builds confidence in inversions.",
Advanced,Mayurasana,"Kneel and place hands on the ground with fingers pointing toward you. Press elbows into the abdomen. Lean forward, shifting weight onto the arms and lift legs straight behind you, keeping body parallel to the ground.","Strengthens wrists, arms and core and stimulates abdominal organs and digestion.",
Intermediate,Kakasana,"From a squat place hands shoulder width apart. Bend elbows and place knees on the backs of upper arms closer to the armpits. Shift weight forward and gently lift feet, keeping gaze forward and arms slightly bent.","Builds arm and core strength, improves balance and coordination and prepares for deeper arm balances.",
Advanced,Parsva Bakasana,"From a squat twist to one side and place both hands on the ground outside the thigh. Press thigh into upper arm, lean forward and lift the feet off the ground, keeping elbows bent and body compact.","Deepens twisting strength, challenges balance and strengthens arms, wrists and core.",
Advanced,Tittibhasana,"From a wide squat slide shoulders and upper arms behind the knees. Place hands on the ground behind the heels, fingers facing forward. Shift weight into hands and straighten legs as much as possible in front of you.","Strengthens arms and core, stretches hamstrings and inner thighs and improves overall balance.",
Advanced,Kurmasana,"Sit with legs wide and slightly bent. Slide arms under the knees with palms down and slowly extend legs while folding the torso forward, resting chest and chin toward the ground.",Provides deep stretch for hips and hamstrings and encourages inward focus and calm.,
Advanced,Supta Virasana,"Sit in Virasana with knees together and feet beside the hips. Lean back onto hands, then forearms and finally lie on the back if comfortable, keeping knees close. Use props under the back as needed.","Stretches quadriceps and hip flexors, opens the front body and can support digestion and rest.",
Beginner,Supta Baddha Konasana,"Lie on your back and bring soles of the feet together, letting knees drop open to the sides. Place cushions under knees if needed. Rest arms by the sides or on the belly.","Opens inner thighs and hips, relaxes the nervous system and supports restorative rest and gentle breathing.",
Intermediate,Anantasana,"Lie on one side and support the head with the lower arm. Bend the top leg and hold the big toe with the top hand, then straighten the leg toward the ceiling as far as comfortable while keeping the body side lying and stable.","Improves balance in a side lying position, stretches hamstrings and side body and strengthens lateral core.",
Intermediate,Parighasana,"Kneel and extend one leg out to the side with the foot flat. Raise arms to shoulder height, then lean the torso toward the extended leg, placing the lower hand on the leg and reaching the top arm overhead.","Stretches side body and hamstrings, opens ribs and can ease tightness in waist and trunk.",
Advanced,Natarajasana,"Stand tall and shift weight to one leg. Bend the other knee and hold the foot from the inside. As you inhale reach the free arm forward or up and kick the held foot back and up, lifting the chest.","Improves balance and focus, stretches hip flexors and shoulders and strengthens standing leg.",
Advanced,Hanumanasana,"From a lunge begin to slide the front heel forward and the back knee backward, lowering the hips toward the ground. Keep hips facing forward and use blocks for support as needed.","Gives a deep stretch to hamstrings and hip flexors, increases flexibility and demands mindful control.",
Beginner,Utthita Parsvakonasana,From Warrior two lower the front forearm to the front thigh or place the hand outside the front foot while keeping the front knee bent. Reach the top arm over the ear in line with the body.,"Stretches side body, hips and inner thighs, strengthens legs and improves length through the spine.",
Intermediate,Parivrtta Parsvakonasana,"From a lunge with back heel lifted, place opposite elbow outside the front knee and press palms together in front of the chest. Rotate the chest toward the front thigh and keep spine long. Advanced versions lower the lower hand to the outside of the front foot.","Builds strength in legs and core, provides a deep twist for spine and organs and challenges balance.",
Intermediate,Upavistha Konasana,"Sit with legs extended wide. Place hands behind you to sit tall, then walk hands forward between the legs as far as comfortable while keeping the spine long.","Stretches inner thighs and hamstrings, encourages gentle opening in the hips and supports calm focus.",
Beginner,Prasarita Padottanasana,"Stand with feet wide and parallel. Place hands on hips, hinge forward from the hips and place hands on the ground below the shoulders or between the feet. Let the head release toward the ground.","Stretches hamstrings and inner thighs, lengthens the spine and can quiet the mind.",
Advanced,Karnapidasana,"From shoulder stand, lower legs overhead toward the ground and bend knees to bring them beside the ears. Keep neck neutral and weight on the shoulders not the head.","Stretches the entire back body, massages the spine and can soothe the nervous system when entered and exited carefully.",
Beginner,Supta Padangusthasana,Lie on your back and extend one leg on the ground. Loop a strap around the big toe of the other foot and extend that leg toward the ceiling while keeping shoulders relaxed. Optionally take the leg out to the side or across the body.,"Stretches hamstrings and calves, improves hip mobility and helps identify side to side differences.",
Intermediate,Matsyasana,"Lie on your back with legs extended. Place hands under the hips, palms down. Press elbows into the ground and lift the chest, gently placing the top of the head on the ground while keeping weight mostly on elbows.","Opens chest, throat and front shoulders, can counter forward bending postures and sitting.",
Intermediate,Ardha Chandrasana,"From a lunge or Warrior two straighten the front leg and place the front hand on a block or ground slightly ahead of the front foot. Lift the back leg to hip height and open the hips and chest toward the side, raising the top arm.","Improves balance and coordination, strengthens legs and core and opens hips and chest.",
Intermediate,Chaturanga Dandasana,"From a plank position shift slightly forward, bend elbows close to the ribs and lower the body until shoulders are near elbow height, keeping the body in one straight line.","Strengthens arms, shoulders, chest and core and prepares the body for arm balances and flowing sequences.",
Intermediate,Vasisthasana,"From plank shift weight onto one hand and the outer edge of the same side foot. Stack the other foot on top and raise the top arm toward the ceiling, forming a side plank.","Strengthens shoulders, arms and obliques, improves balance and lateral stability.",
Advanced,Astavakrasana,"Sit with legs extended and cross one ankle over the other. Place hands beside hips and hook one leg over the same side arm. Lift the body off the ground, extend legs to the side and straighten them while keeping elbows bent.","Challenges core and arm strength, improves coordination and builds confidence in complex arm balances.",
Beginner,Bharmanasana,Come onto hands and knees with wrists under shoulders and knees under hips. Spread fingers wide and press into the ground. Keep spine neutral and gaze toward the ground.,"Provides a stable base for many movements, builds awareness of neutral spine and strengthens shoulders and core gently.",
Beginner,Namaskarasana,"From a squat with feet wide and toes turned out, bring palms together at the chest in prayer. Use elbows to press gently against inner knees, lengthening the spine upward.","Opens hips and groin, strengthens ankles and supports grounding and balance.",
Advanced,Samakonasana,"From kneeling or seated, gradually open legs to the sides with knees and toes pointing upward until legs form a straight line if possible. Keep spine long and hands on the ground for support.","Gives a strong stretch through inner thighs and hamstrings, increases hip flexibility and demands mindful breathing.",
Beginner,Mandukasana,"Kneel and sit back on heels. Place fists at the lower abdomen and lean forward slightly, or in some traditions widen the knees, keep feet together and sit back. Maintain length in the spine.","Stimulates abdominal organs, can support digestion and provides gentle opening in hips and thighs.",
Beginner,Simhasana,"Sit in a kneeling position or cross legged. Place hands on knees. Inhale through the nose, then exhale forcefully through the mouth while opening the mouth wide, stretching the tongue out and widening eyes.","Releases facial and jaw tension, can reduce stress and brings playful energy into practice.",
Beginner,Vyaghrasana,"From hands and knees inhale as you lift one leg and the opposite arm, arching the back slightly and looking forward or up. Exhale to return and repeat on the other side.","Strengthens back and glutes, coordinates balance and movement and gently mobilises the spine.",
Beginner,Anahatasana,From hands and knees walk hands forward and lower chest and chin or forehead toward the ground while keeping hips above knees. Relax the heart area toward the earth.,"Opens chest and shoulders, lengthens the spine and can ease tightness from sitting and hunching.",
Beginner,Viparita Karani,"Sit sideways next to a wall, then swing legs up the wall as you lie on your back. Hips can be on a folded blanket. Arms rest by the sides with palms up, and breath remains soft.","Promotes relaxation, may reduce leg fatigue and supports gentle inversion benefits without strain.",
Intermediate,Sarvangasana,"Lie on your back and lift legs to ninety degrees. Press arms into the ground and lift hips, bringing hands to the lower back for support. Stack hips over shoulders and legs over hips, keeping neck neutral.","Strengthens shoulders and core, improves circulation and can calm the nervous system when practiced safely.",
Beginner,Paschimottanasana,"Sit with legs extended together. Inhale and lengthen the spine, exhale and hinge from the hips to fold forward, holding shins, ankles or feet. Keep spine long and relax shoulders.","Stretches hamstrings and back, massages abdominal organs and supports relaxation and introspection.",
Beginner,Janu Sirsasana,"Sit with one leg extended and bend the other knee, placing the sole of the foot on the inner thigh. Inhale to lengthen the spine, exhale to fold over the extended leg.","Stretches the back of the leg and side body, gently stimulates abdominal organs and calms the mind.",
Intermediate,Parivrtta Janu Sirsasana,From Janu Sirsasana rotate the torso toward the bent knee side and reach the lower arm toward the extended leg while the upper arm reaches overhead toward the foot. Keep chest open.,"Combines side stretch and twist, opening ribs and waist, and can enhance breathing depth and flexibility.",
Advanced,Eka Pada Koundinyasana,"From a lunge twist place hands on the ground to the side of the front leg. Hook the front thigh over the upper arm, lean forward and lift the back leg off the ground, extending both legs.","Builds advanced arm and core strength, improves balance and coordination and deepens twisting power.",
Advanced,Yoganidrasana,"Lie on the back and draw knees toward the chest. Bring feet toward the head and carefully place legs behind the head if accessible, clasping hands in front of the chest.",Provides deep hip and hamstring opening and is traditionally associated with inward focus and deep relaxation when practiced carefully.,
Intermediate,Agni Stambhasana,"Sit with one shin stacked on top of the other so that ankles rest near opposite knees. Flex both feet and sit tall, then fold forward slightly if comfortable.","Deeply opens outer hips and glutes, can ease tightness from sitting and supports healthy hip rotation.",
Advanced,Akarna Dhanurasana,Sit with legs extended. Bend one knee and hold the big toe of that foot with the same side hand. Draw the foot toward the ear like drawing a bow while the other leg stays extended.,"Improves hip and hamstring flexibility, strengthens arms and builds focus and control.",
Beginner,Utthan Pristhasana,From a low lunge bring both hands to the inside of the front foot. Walk the front foot slightly outward and lower elbows to a block or ground if available while keeping the back leg extended.,"Deeply opens hips and hip flexors, stretches inner thighs and can relieve lower body stiffness.",
Beginner,Bharadvajasana,"Sit with legs bent to one side, feet near the hips. Place one hand behind you and the other on the opposite thigh. Inhale to lengthen the spine, exhale to twist gently toward the back hand side.","Offers a gentle seated twist, improves spinal mobility and can ease lower back and shoulder tension.",
Beginner,Uttana Shishosana,From hands and knees walk hands forward and lower forehead or chin toward the ground while keeping hips above knees and arms active.,"Stretches shoulders, triceps and upper back, opens the heart area and calms the mind.",
Beginner,Pawanmuktasana,"Lie on your back and draw one or both knees toward the chest, clasping hands around the shins. Gently hug knees in and rock side to side if desired.","Massages abdominal organs, can ease gas and bloating and relaxes lower back muscles.",
Advanced,Parsva Kakasana,From a squat twist to one side and place hands on the ground. Lift hips and place outer thigh on upper arms. Shift weight forward onto hands and lift feet off the ground while keeping body compact.,"Combines twisting and arm balance strength, improves coordination and strengthens wrists, arms and core.",
Beginner,Sufi torso ring,"Sit cross legged or in a comfortable seat. Place hands on knees and begin to circle the torso slowly, moving chest forward to one side, back and around in smooth circular motion. Reverse direction after several circles.","Gently mobilises spine and hips, massages abdominal area and supports relaxed, rhythmic breathing.",
Beginner,Pranayama set one,"Sit comfortably with a long spine. Inhale slowly through the nose, letting the belly expand, then ribs, then chest. Exhale gently through the nose in reverse order. Continue with smooth even breaths.","Trains diaphragmatic breathing, calms the nervous system and improves lung capacity and breath awareness.",
Intermediate,Pranayama set two,"Sit tall and breathe in for a steady count, then breathe out for the same count. Keep the breath smooth and quiet, adjusting the count so it remains comfortable.","Balances the breath, steadies the mind and can reduce stress and anxiety when practiced regularly.",
Advanced,Pranayama set three,"Sit in a stable seat and practice slightly longer exhalations than inhalations, for example in for four counts and out for six counts while staying relaxed.","Encourages relaxation and grounding, supports the rest and digest response and prepares the mind for meditation.",
Intermediate,Bhastrika set,"Sit upright. Inhale forcefully through the nose expanding the chest, then exhale forcefully through the nose, using equal strong breaths in and out at a steady rhythm for a short round. Rest and breathe normally between rounds.","Energises the body, clears mental fog and may improve respiratory strength when practiced with care and guidance.",
Intermediate,Kapalabhati set,"Sit tall and take a gentle inhale. Then make quick active exhalations through the nose by snapping the lower belly inward, letting inhalations be passive. Practice short rounds followed by rest.","Cleanses and energises the breathing system, strengthens abdominal muscles and can sharpen focus.",
Beginner,Nadi Shodhana set,"Sit comfortably. Use the right hand to alternate closing one nostril at a time. Inhale through the left nostril, close it and exhale through the right, then inhale right, close and exhale left. Continue with smooth even breaths.","Balances activity between the two sides of the nervous system, calms the mind and improves focus and clarity.",
Beginner,Dirgha breath,"Sit or lie comfortably. Breathe first into the belly, then the ribs, then the upper chest, filling the torso on each inhale. Exhale in reverse, softening chest, ribs and belly. Continue slowly.","Encourages full lung use, relaxes the body and helps release shallow breathing patterns.",
Beginner,Ujjayi breath,Sit or stand tall. Inhale and exhale through the nose while gently narrowing the throat to create a soft ocean like sound. Keep breath smooth and even.,"Builds heat and focus in physical practice, steadies the mind and anchors attention during movement or meditation.",
Beginner,Sama Vritti breath,"Sit comfortably and choose a breath count. Inhale through the nose for that count, then exhale through the nose for the same count. Maintain a relaxed face and body.","Creates balance between inhalation and exhalation, calms the nervous system and supports concentration.",
Advanced,Antar Kumbhaka,"After a comfortable inhale pause gently with the breath held in for a short count while staying relaxed, then exhale smoothly. Rest with normal breathing between holds.","Builds breath control and awareness, can deepen focus and should be practiced gently to avoid strain.",
Advanced,Bahya Kumbhaka,"After a comfortable exhale pause briefly with empty lungs for a short count, then inhale smoothly. Alternate this with normal breathing as needed.","Helps refine breath control, encourages mental stillness and can increase awareness of subtle body sensations.",
Advanced,Krama breath set,"Inhale in two or three small equal parts through the nose, then exhale in one smooth breath, or reverse the pattern. Keep the breath soft and steady.","Refines breath control, enhances focus on the phases of breathing and can settle a restless mind.",
Beginner,Sit rise breath set,"Begin seated, inhale and raise arms overhead while lengthening the spine. Exhale and lower arms back down, staying seated. Repeat with a smooth rhythm.","Gently mobilises shoulders and spine, coordinates movement with breath and prepares the body for stillness.",
Intermediate,Surya breath set,"Sit comfortably and use the right hand to close the left nostril. Inhale and exhale only through the right nostril for several rounds, then return to normal breathing.","Traditionally associated with warming and energising effects, may increase alertness and focus when used briefly.",
Beginner,Chandra breath set,"Sit comfortably and use the right hand to close the right nostril. Inhale and exhale only through the left nostril for several rounds, then return to normal breathing.","Traditionally associated with cooling and calming effects, may help reduce agitation and support relaxation.",
Beginner,Bhramari breath set,"Sit upright, close the lips and gently close or cover ears with fingers if comfortable. Inhale through the nose, then exhale while making a soft humming sound in the throat.","Soothes the nervous system, can ease anxious thoughts and promotes a feeling of inner vibration and calm.",
Intermediate,Nasagra mudra breath,Sit with a tall spine. Form Nasagra mudra with the right hand by placing index and middle fingers at the eyebrow center and using thumb and ring finger to close the nostrils during alternate nostril breathing.,Supports precise control in alternate nostril practices and reinforces focused attention at the center of the forehead.,
Beginner,Simha breath,"Sit in a comfortable seat. Inhale through the nose, then exhale with mouth wide open, tongue extended and a strong ha sound from the throat. Relax and repeat a few times.","Releases tension in face and throat, can improve voice projection and introduces playful release into practice.",
Beginner,Pranava sound set,"Sit upright and close the eyes. Inhale gently, then chant the sound Om on the exhale, feeling vibration in chest, throat and head. Pause briefly, then repeat.","Creates a meditative sound focus, calms the mind, lengthens exhalation and supports a sense of connection and peace.",
Beginner,Sukha breath,"Sit comfortably and breathe in and out through the nose at a natural pace. Allow each breath to be smooth and unforced, simply observing the sensation of air at the nostrils.","Builds simple breath awareness, calms the mind and can be used anywhere as a grounding practice.",
Advanced,Agni sara,"Stand with feet apart, bend knees slightly and place hands on thighs. Exhale completely, then gently draw the abdominal wall in and out in small pulses while keeping the breath out, then release and inhale. Practice cautiously and avoid if contraindicated.","Stimulates abdominal organs, tones core muscles and is traditionally used to awaken digestive and energetic fire.",
Advanced,Nauli prep set,"Stand with knees bent and hands on thighs. Exhale completely, draw the abdominal wall inward and try to isolate the central abdominal muscles without yet rolling them. Release and inhale again.","Prepares the body for more advanced Nauli work, strengthens abdominal control and massages internal organs.",
Advanced,Uddiyana bandha prep,"Stand with knees soft, hands on thighs. Exhale fully, then without inhaling lift the diaphragm to create a gentle hollow under the ribs while belly is drawn in. Release and inhale gently.","Introduces subtle internal lift, tones deep core and is used to support advanced breathing and energy practices.",
Intermediate,Jihva bandha set,Sit comfortably and place the tip of the tongue against the upper palate just behind the front teeth or toward the soft palate. Maintain this gentle contact during relaxed breathing.,"Associated with quieter mind and smoother breath, supports internal focus and is used in many meditation traditions.",
Beginner,Hasta mudra set one,Sit tall and rest hands on the thighs. Bring thumb and index finger together lightly for Chin or Jnana mudra while other fingers extend. Breathe naturally.,"Encourages mental clarity and focus, supports meditation and can help relax hand and forearm tension.",
Intermediate,Hasta mudra set two,Form Anjali mudra by bringing palms together at the center of the chest with fingers pointing upward and thumbs lightly touching the sternum. Keep shoulders relaxed.,"Symbolises balance and respect, centers attention in the heart area and can prepare the mind for practice or reflection.",
Beginner,Netra gaze focus set,Sit comfortably and choose a single point in front of you such as a mark on the wall or a candle at safe distance. Keep eyes softly focused on that point while breathing calmly.,"Trains steady gaze, reduces visual distraction and supports improved concentration and meditative depth.",
Beginner,Drishti steady gaze set,"In a yoga pose or seated practice choose a specific drishti point such as the tip of the nose, the space between eyebrows or a fixed point on the horizon. Maintain gentle focus there while continuing the pose or breath work.","Helps stabilise balance, collects scattered attention and deepens presence in postures and meditation.",
